city,country,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
São Filipe,CV,1586388671,0,61,14.9,-24.5,77.29,14.07
Rikitea,PF,1586388671,80,80,-23.12,-134.97,76.62,9.46
Broken Hill,AU,1586388670,0,67,-31.95,141.43,57.2,8.05
Tuktoyaktuk,CA,1586388672,20,72,69.45,-133.04,10.4,10.29
Bathsheba,BB,1586388672,40,69,13.22,-59.52,80.6,12.75
Tasiilaq,GL,1586388672,2,73,65.61,-37.64,24.8,6.93
Vágur,FO,1586388672,4,70,61.47,-6.81,40.26,6.29
Deputatsky,RU,1586388672,29,88,69.3,139.9,6.28,3.56
Vostok,RU,1586388392,99,61,46.49,135.88,32.49,2.37
Tokomaru,NZ,1586388672,63,69,-40.47,175.5,59.41,4.0
Njombe,TZ,1586388672,97,58,-9.33,34.77,58.35,4.29
Busselton,AU,1586388673,24,45,-33.65,115.33,65.64,7.72
Kavieng,PG,1586388673,9,73,-2.57,150.8,83.53,3.83
Amahai,ID,1586388673,71,69,-3.33,128.92,82.35,6.93
George Town,MY,1586388673,20,100,5.41,100.34,78.4,2.24
Botelhos,BR,1586388673,7,72,-21.63,-46.4,63.1,3.15
Derbent,RU,1586388673,0,64,42.07,48.29,42.1,4.59
Nikolskoye,RU,1586388674,100,68,59.7,30.79,43.29,8.95
Tari,NG,1586388674,42,31,12.41,4.49,87.85,9.26
Cascais,PT,1586388419,20,82,38.7,-9.42,60.62,5.82
Cherskiy,RU,1586388674,55,92,68.75,161.3,-0.29,13.15
Codrington,AU,1586388674,6,75,-38.27,141.97,60.31,9.17
Mahébourg,MU,1586388674,40,83,-20.41,57.7,78.87,8.05
Mataura,NZ,1586388624,100,88,-46.19,168.86,53.01,15.01
Hermanus,ZA,1586388615,6,79,-34.42,19.23,59.0,5.99
Malakal,SS,1586388675,71,36,9.53,31.66,85.33,4.92
Chokurdakh,RU,1586388675,54,91,70.63,147.92,-6.16,7.65
Hastings,GB,1586388675,0,100,50.86,0.57,50.27,5.82
Punta Arenas,CL,1586388476,32,58,-53.15,-70.92,56.59,10.29
Norman Wells,CA,1586388675,90,46,65.28,-126.83,30.2,17.22
Katherine,AU,1586388675,99,94,-14.47,132.27,73.4,5.82
Jamestown,US,1586388652,1,62,42.1,-79.24,52.83,10.29
Hobart,AU,1586388456,11,71,-42.88,147.33,51.13,8.05
Gonder,ET,1586388676,27,18,12.6,37.47,65.37,6.06
Olafsvik,IS,1586388676,80,85,64.89,-23.71,34.2,9.42
Longyearbyen,SJ,1586388676,20,69,78.22,15.64,-7.6,3.36
Mil'kovo,RU,1586388676,99,91,54.72,158.62,28.6,1.57
Saint Anthony,US,1586388676,20,29,45.02,-93.22,49.71,18.34
Ribeira Grande,PT,1586388624,6,84,38.52,-28.7,60.71,8.16
Port Alfred,ZA,1586388662,85,71,-33.59,26.89,64.02,18.79
Kalasin,TH,1586388677,70,83,16.5,103.5,73.4,8.05
Padang,ID,1586388600,79,73,-0.95,100.35,78.31,4.59
Durban,ZA,1586388532,20,82,-29.86,31.03,61.48,4.7
Faanui,PF,1586388677,84,73,-16.48,-151.75,83.7,12.71
Santa Lucía,ES,1586388677,20,77,27.91,-15.54,67.66,20.8
Domodedovo,RU,1586388678,5,80,55.44,37.76,38.28,6.71
Lavrentiya,RU,1586388652,4,89,65.58,-171.0,10.31,8.32
Lebu,CL,1586388659,2,89,-37.62,-73.65,53.67,2.21
Cape Town,ZA,1586388666,1,76,-33.93,18.42,56.19,4.7
Aklavik,CA,1586388678,20,41,68.22,-135.01,23.4,2.24
Albany,US,1586388621,75,50,42.6,-73.97,51.3,12.75
Hong Kong,HK,1586388460,20,64,22.29,114.16,67.32,6.93
Catuday,PH,1586388678,52,69,16.29,119.81,80.4,5.44
Loukísia,GR,1586388679,20,54,38.48,23.45,52.56,5.82
Ushuaia,AR,1586388475,7,32,-54.8,-68.3,68.0,8.05
La Ronge,CA,1586388679,90,62,55.1,-105.28,21.2,21.92
Monforte de Lemos,ES,1586388679,99,79,42.52,-7.51,55.36,1.1
Albufeira,PT,1586388679,99,82,37.09,-8.25,62.22,4.7
Dikson,RU,1586388637,100,98,73.51,80.55,30.74,29.8
Atar,MR,1586388679,0,15,20.52,-13.05,80.06,6.78
Severo-Kuril'sk,RU,1586388680,100,97,50.68,156.12,32.14,6.38
Torbay,CA,1586388680,75,58,47.67,-52.73,28.71,10.29
Pevek,RU,1586388680,100,92,69.7,170.31,0.57,7.58
Hilo,US,1586388680,90,61,19.73,-155.09,73.4,5.82
Butaritari,KI,1586388680,73,78,3.07,172.79,83.79,15.08
Bluff,NZ,1586388680,100,88,-46.6,168.33,53.01,15.01
Samarai,PG,1586388680,20,71,-10.62,150.67,83.52,7.36
Bethel,US,1586388681,20,54,41.37,-73.41,53.53,5.82
Avarua,CK,1586388681,75,84,-21.21,-159.78,86.0,18.34
Oodweyne,SO,1586388681,0,33,9.41,45.06,75.65,3.96
Vaini,TO,1586388681,90,94,-21.2,-175.2,78.8,33.33
Saskylakh,RU,1586388681,98,97,71.92,114.08,27.97,7.92
Carnarvon,AU,1586388649,79,100,-24.87,113.63,68.0,8.32
Ortona,IT,1586388681,0,86,42.35,14.4,41.49,5.82
Arman',RU,1586388682,64,90,59.7,150.17,27.36,4.12
Harper,LR,1586388682,28,82,4.38,-7.72,81.39,5.61
Khatanga,RU,1586388682,100,89,71.97,102.5,35.08,13.78
Kaitangata,NZ,1586388682,100,61,-46.28,169.85,57.99,3.0
Half Moon Bay,US,1586388682,90,87,37.46,-122.43,60.66,9.17
Araouane,ML,1586388682,0,13,18.9,-3.53,78.12,6.08
Asău,RO,1586388683,0,48,46.43,26.4,44.24,3.36
Puerto Ayora,EC,1586388683,20,78,-0.74,-90.35,81.52,10.29
Ojinaga,MX,1586388683,1,15,29.57,-104.42,84.24,3.36
Dormidontovka,RU,1586388683,100,66,47.77,134.91,39.02,6.93
New Norfolk,AU,1586388684,11,71,-42.78,147.06,51.21,8.05
Souillac,MU,1586388684,40,83,-20.52,57.52,78.89,8.05
Caravelas,BR,1586388684,91,87,-17.71,-39.25,78.51,13.71
La Ciotat,FR,1586388684,0,61,43.17,5.6,48.72,3.36
Castro,BR,1586388639,0,49,-24.79,-50.01,57.61,3.76
Nemuro,JP,1586388684,83,93,43.32,145.57,33.24,11.59
Trabzon Province,TR,1586388685,75,81,40.92,39.83,50.0,4.7
São Gabriel da Cachoeira,BR,1586388685,97,95,-0.13,-67.09,75.56,2.55
Pemangkat,ID,1586388685,72,83,1.17,108.97,78.12,6.89
Port Elizabeth,ZA,1586388615,70,82,-33.92,25.57,62.6,9.17
Barrow,US,1586388685,1,70,71.29,-156.79,-0.4,8.05
Chiman,PK,1586388685,40,82,32.55,73.81,64.4,2.37
Dodoma,TZ,1586388685,20,94,-6.17,35.74,69.8,10.29
Taitung City,TW,1586388686,75,77,22.76,121.14,69.8,5.82
Roald,NO,1586388686,94,73,62.58,6.13,34.52,14.99
Kumbo,CM,1586388686,93,59,6.2,10.67,62.6,1.43
Upington,ZA,1586388686,0,36,-28.45,21.26,60.8,2.24
Atuona,PF,1586388641,25,78,-9.8,-139.03,82.69,13.73
Kapaa,US,1586388686,20,69,22.08,-159.32,77.59,9.17
Dingle,PH,1586388686,72,70,11.0,122.67,81.95,9.44
Ust'-Omchug,RU,1586388644,69,87,61.15,149.63,20.68,7.83
Pinawa,CA,1586388687,92,77,50.15,-95.88,32.77,10.47
Bouca,CF,1586388687,99,75,6.51,18.27,73.44,6.17
Antalaha,MG,1586388687,4,82,-14.9,50.28,76.8,11.99
Klaksvík,FO,1586388687,42,69,62.23,-6.59,37.4,8.05
Saint-François,FR,1586388663,0,70,46.42,3.91,44.6,2.24
Camacha,PT,1586388687,75,93,33.08,-16.33,66.72,13.87
Aksarka,RU,1586388688,100,94,66.56,67.8,14.81,12.71
Mīnāb,IR,1586388688,5,83,27.15,57.08,71.6,6.93
Dunedin,NZ,1586388557,100,62,-45.87,170.5,57.09,3.0
Thompson,CA,1586388688,40,50,55.74,-97.86,30.2,14.99
Husavik,IS,1586388688,1,79,66.04,-17.34,21.2,12.75
Dickinson,US,1586388557,75,66,29.46,-95.05,84.29,5.82
Aktau,KZ,1586388688,33,80,43.65,51.2,33.8,8.95
Netrakona,BD,1586388689,4,62,24.88,90.72,70.52,7.72
Sitka,US,1586388681,90,65,57.05,-135.33,41.0,10.29
Salalah,OM,1586388689,20,69,17.02,54.09,78.8,3.36
Faya,SA,1586388689,20,63,18.39,42.45,63.5,2.33
Qaanaaq,GL,1586388689,100,83,77.48,-69.36,12.96,8.03
Thinadhoo,MV,1586388689,94,67,0.53,72.93,85.03,8.7
Moravské Budějovice,CZ,1586388690,0,29,49.05,15.81,44.69,6.93
Te Anau,NZ,1586388690,99,66,-45.42,167.72,52.23,5.64
Soyo,AO,1586388690,12,85,-6.13,12.37,78.91,6.15
Rawson,AR,1586388690,0,41,-43.3,-65.1,64.38,26.06
Bundaberg,AU,1586388690,75,64,-24.85,152.35,76.15,11.41
Ryōtsu-minato,JP,1586388691,75,70,38.08,138.43,46.87,5.82
Cascas,PE,1586388691,88,48,-7.48,-78.82,70.05,2.3
Upernavik,GL,1586388679,4,84,72.79,-56.15,11.77,3.8
Barra do Garças,BR,1586388581,80,75,-15.89,-52.26,77.13,3.56
Okato,NZ,1586388691,26,53,-39.2,173.88,59.0,13.0
Pisco,PE,1586388661,40,30,-13.7,-76.22,71.33,4.7
Ubari,LY,1586388692,8,28,26.59,12.78,61.72,8.93
San Clemente,US,1586388692,40,58,33.43,-117.61,58.6,8.05
Owando,CG,1586388692,100,88,-0.48,15.9,71.87,3.38
São Borja,BR,1586388692,15,56,-28.66,-56.0,56.71,6.62
Fairbanks,US,1586388692,75,39,64.84,-147.72,29.84,3.36
Havelock,US,1586388692,1,60,34.88,-76.9,73.06,12.75
Mar del Plata,AR,1586388655,20,76,-38.0,-57.56,55.53,3.36
Esim,GH,1586388693,43,84,4.87,-2.24,81.63,7.81
Touros,BR,1586388693,20,88,-5.2,-35.46,80.6,6.93
Sept-Îles,CA,1586388693,20,47,50.2,-66.38,34.32,9.17
Fort Nelson,CA,1586388615,75,25,58.81,-122.7,41.0,10.29
Prainha,BR,1586388693,99,97,-1.8,-53.48,75.49,2.75
Pangnirtung,CA,1586388671,5,79,66.15,-65.71,19.4,3.36
Ganzhou,CN,1586388694,10,63,28.82,115.43,65.3,0.09
Obo,CF,1586388694,100,79,5.4,26.49,70.34,4.59
San Rafael,AR,1586388694,3,36,-34.62,-68.33,64.96,10.83
Krasnosel'kup,RU,1586388694,99,95,65.7,82.47,24.85,23.09
Flin Flon,CA,1586388694,75,73,54.77,-101.86,23.0,10.29
Bariloche,AR,1586388694,0,36,-41.15,-71.31,62.6,3.36
La Rioja,ES,1586388695,58,93,42.25,-2.5,51.8,4.7
Gamba,GA,1586388695,87,89,-2.65,10.0,78.13,3.0
Coyhaique,CL,1586388695,0,82,-45.58,-72.07,55.4,3.71
Shiyan,CN,1586388695,17,50,32.65,110.78,63.1,0.83
Alofi,NU,1586388695,75,79,-19.06,-169.92,86.0,16.11
Phuket,TH,1586388695,20,83,8.0,98.25,80.6,4.7
Laas,IT,1586388696,5,44,46.62,10.7,39.56,3.36
São João da Barra,BR,1586388586,100,85,-21.64,-41.05,71.33,9.51
Lamont,US,1586388696,90,81,35.26,-118.91,39.34,8.05
Tabou,CI,1586388696,31,83,4.42,-7.35,80.92,4.74
Mayo,US,1586388696,1,35,38.89,-76.51,71.29,9.17
Nelson Bay,AU,1586388412,90,88,-32.72,152.15,65.25,6.93
Hervey Bay,AU,1586388622,75,64,-25.3,152.85,71.69,11.41
Khuzhir,RU,1586388697,0,70,53.19,107.34,33.89,0.85
Opuwo,NA,1586388697,29,26,-18.06,13.84,66.88,2.86
Yerbogachën,RU,1586388697,0,79,61.28,108.01,37.56,5.73
Øksfjord,NO,1586388697,86,80,70.24,22.35,33.04,42.5
East London,ZA,1586388697,100,68,-33.02,27.91,66.06,13.67
Safi,MA,1586388697,86,75,32.3,-9.24,64.54,9.53
Hede,CN,1586388698,9,71,33.77,120.25,53.11,15.14
Awjilah,LY,1586388698,100,47,29.11,21.29,62.06,13.33
Otradnoye,RU,1586388698,100,68,59.78,30.82,43.23,8.95
Kruisfontein,ZA,1586388698,77,70,-34.0,24.73,59.0,17.22
Ambatolampy,MG,1586388698,20,88,-19.38,47.42,64.4,5.82
Mâncio Lima,BR,1586388698,97,92,-7.61,-72.9,72.84,2.37
Arraial do Cabo,BR,1586388628,95,77,-22.97,-42.03,73.22,13.58
Aswān,EG,1586388699,13,21,24.09,32.91,69.8,9.17
Ekhabi,RU,1586388699,1,96,53.51,142.97,29.64,14.63
Ketchikan,US,1586388699,90,100,55.34,-131.65,39.52,23.04
Portland,US,1586388607,40,30,45.52,-122.68,70.38,8.05
Vila Franca do Campo,PT,1586388699,20,93,37.72,-25.43,60.8,3.36
Itaituba,BR,1586388699,96,94,-4.28,-55.98,74.86,1.45
Ruska Poliana,UA,1586388700,0,75,49.42,31.92,44.96,5.79
Ponta Delgada,PT,1586388700,20,93,37.73,-25.67,60.8,3.36
Hasaki,JP,1586388700,75,62,35.73,140.83,54.03,9.17
Edd,ER,1586388700,0,29,13.93,41.69,87.13,13.02
Zhigansk,RU,1586388700,100,95,66.77,123.37,32.38,12.1
Molde,NO,1586388695,95,81,62.74,7.16,34.83,20.8
Tiksi,RU,1586388678,61,94,71.69,128.87,13.21,6.26
Sweetwater,US,1586388701,40,58,25.76,-80.37,83.46,12.75
Newberry,US,1586388602,1,57,34.27,-81.62,78.64,11.41
Marzuq,YE,1586388702,0,22,14.4,46.47,70.09,3.62
Yerofey Pavlovich,RU,1586388702,0,69,53.97,121.97,32.49,2.04
Pak Phanang,TH,1586388702,20,94,8.35,100.2,78.8,3.51
Erzin,TR,1586388702,40,76,36.96,36.2,57.6,8.05
Wau,SS,1586388702,100,64,7.7,28.0,75.83,7.76
Khilok,RU,1586388702,0,48,51.37,110.47,36.84,2.59
Hithadhoo,MV,1586388703,89,70,-0.6,73.08,84.67,11.68
Lahān,NP,1586388703,7,20,26.73,86.5,73.44,5.59
Krasnoarmeysk,RU,1586388703,96,35,51.02,45.7,48.99,3.0
Tvøroyri,FO,1586388703,3,69,61.56,-6.81,37.4,8.05
Hammerfest,NO,1586388703,100,96,70.66,23.68,32.0,20.8
Thornton,US,1586388703,40,14,39.87,-104.97,67.91,6.93
Jacareacanga,BR,1586388703,100,91,-6.22,-57.75,77.72,1.1
Westport,US,1586388704,1,71,41.14,-73.36,54.32,1.83
Eenhana,NA,1586388704,41,64,-17.47,16.33,73.4,8.05
Mahon,ES,1586388643,4,76,39.89,4.27,55.4,2.24
Charlestown,AU,1586388704,90,88,-32.95,151.67,65.73,6.93
Yellowknife,CA,1586388704,75,38,62.46,-114.35,26.29,4.14
Fuyu,CN,1586388704,94,57,45.18,124.82,42.31,8.5
Mata,PT,1586388704,100,96,40.68,-7.46,58.14,2.13
Calabozo,VE,1586388704,49,38,8.92,-67.43,91.63,4.18
Marawi,PH,1586388705,70,57,8.0,124.29,77.05,2.28
Iqaluit,CA,1586388413,5,72,63.75,-68.51,12.09,3.36
Provideniya,RU,1586388705,58,72,64.38,-173.3,10.4,11.18
Muswellbrook,AU,1586388423,100,80,-32.27,150.9,64.0,5.7
Yarega,RU,1586388705,90,97,63.44,53.58,28.89,8.05
Mananara,MG,1586388705,23,82,-16.17,49.77,76.98,6.89
Bonavista,CA,1586388705,91,72,48.65,-53.11,28.99,3.0
Narsaq,GL,1586388706,100,25,60.92,-46.05,41.0,12.75
Province of Mantua,IT,1586388706,0,37,45.17,10.78,51.17,5.82
Esmeraldas,BR,1586388706,75,94,-19.76,-44.31,69.21,6.93
Solwezi,ZM,1586388706,26,65,-12.17,26.39,60.57,4.94
Katsuura,JP,1586388706,20,71,35.13,140.3,57.72,6.93
Dicabisagan,PH,1586388706,50,75,17.08,122.42,79.34,5.12
Kumul,CN,1586388707,0,22,42.8,93.45,60.24,7.47
Naze,JP,1586388707,75,60,28.37,129.48,69.8,12.75
Moree,AU,1586388707,100,60,-29.47,149.85,69.8,12.75
Mwense,ZM,1586388707,77,70,-10.38,28.7,66.16,3.06
Cap-aux-Meules,CA,1586388708,5,58,47.38,-61.86,26.6,2.24
Sorong,ID,1586388708,18,69,-0.88,131.25,84.43,4.54
Margate,GB,1586388498,18,93,51.38,1.39,49.93,2.24
Ishigaki,JP,1586388708,75,94,24.34,124.16,69.8,8.05
Saint-Philippe,RE,1586388708,4,69,-21.36,55.77,68.61,6.93
Guerrero Negro,MX,1586388708,98,62,27.98,-114.06,63.86,13.35
Grand Gaube,MU,1586388708,40,83,-20.01,57.66,78.93,8.05
Constitución,CL,1586388708,55,90,-35.33,-72.42,53.08,2.33
Petauke,ZM,1586388709,38,61,-14.24,31.33,66.22,8.14
Kamenka,RU,1586388709,90,57,51.32,42.77,43.5,4.07
Port Keats,AU,1586388599,100,65,-14.25,129.55,81.09,10.29
Bud,US,1586388709,1,34,39.45,-86.18,77.79,5.82
Port Lincoln,AU,1586388709,69,70,-34.73,135.87,62.71,8.43
Viedma,AR,1586388533,0,53,-40.81,-63.0,57.49,14.34
Saint George,US,1586388511,75,51,37.1,-113.58,60.4,23.04
Liverpool,GB,1586388692,62,81,53.41,-2.98,48.52,2.24
Culebra,PR,1586388709,40,74,18.3,-65.3,79.39,9.17
Vilyuysk,RU,1586388710,100,93,63.76,121.62,32.88,5.88
Kentau,KZ,1586388710,100,66,43.52,68.51,35.87,10.22
Tumpat,MY,1586388710,20,94,6.2,102.17,77.0,2.24
Khāsh,IR,1586388710,68,30,28.22,61.22,61.9,4.88
Avera,US,1586388710,1,69,33.19,-82.53,77.86,5.82
Clyde River,CA,1586388710,5,78,70.47,-68.59,10.4,6.93
Lata,PT,1586388711,75,93,40.16,-8.33,59.58,5.82
Ahipara,NZ,1586388711,48,66,-35.17,173.17,65.66,19.04
Wagar,SD,1586388711,5,63,16.15,36.2,76.91,10.36
Lüderitz,NA,1586388711,63,87,-26.65,15.16,57.2,2.24
Kisangani,CD,1586388711,86,86,0.52,25.2,72.41,3.94
Dunda,TZ,1586388425,100,68,-8.12,34.25,65.43,2.24
Saint Paul Harbor,US,1586388712,1,51,57.79,-152.41,35.6,31.09
Nome,US,1586388712,75,77,64.5,-165.41,8.42,3.36
Soyaló,MX,1586388712,5,35,16.9,-92.92,98.6,18.34
Maumere,ID,1586388712,100,69,-8.62,122.21,82.74,1.05
Yangi Marg`ilon,UZ,1586388713,90,74,40.43,71.72,37.4,9.17
Lagos,NG,1586388713,20,88,6.58,3.75,82.4,2.24
Stornoway,GB,1586388713,7,80,58.21,-6.39,34.3,5.21
Airai,TL,1586388648,95,61,-8.93,125.41,67.12,0.58
Ancud,CL,1586388713,0,77,-41.87,-73.82,59.0,1.12
Ilulissat,GL,1586388713,0,61,69.22,-51.1,12.2,1.12
Kemijärvi,FI,1586388713,63,92,66.71,27.43,29.43,14.43
Romny,UA,1586388714,4,82,50.75,33.47,42.1,6.22
Goālpāra,IN,1586388714,5,41,26.17,90.62,69.69,2.8
Mizdah,LY,1586388714,1,58,31.45,12.98,50.9,6.51
Bukama,CD,1586388714,60,76,-9.2,25.85,69.35,1.43
Hauterive,FR,1586388714,0,54,46.09,3.45,50.45,4.7
Alice Springs,AU,1586388642,90,55,-23.7,133.88,66.2,5.82
Bredasdorp,ZA,1586388714,21,82,-34.53,20.04,59.49,10.29
Boende,CD,1586388715,99,88,-0.22,20.87,71.15,1.12
Namwala,ZM,1586388715,6,70,-15.75,26.44,63.63,3.89
Vestmannaeyjar,IS,1586388708,52,75,63.44,-20.27,37.36,4.03
Lorengau,PG,1586388625,40,76,-2.02,147.27,83.28,5.48
Novo Cruzeiro,BR,1586388715,76,79,-17.47,-41.88,67.91,5.12
Altay,CN,1586388715,0,36,47.87,88.12,45.88,5.41
Goderich,CA,1586388716,43,75,43.75,-81.72,52.29,6.13
Dubrovka,RU,1586388716,7,85,53.69,33.51,39.11,3.6
Santo Antônio do Içá,BR,1586388716,92,94,-3.1,-67.94,76.3,3.58
